incident_description,offense_type
My landlord sexually harassed me when I went to pay rent,Sexual Assault
Someone is threatening to file false cases against me unless I pay them,Extortion
My brother was abducted by unknown men and we received a ransom call,Kidnapping
I was duped in an online investment scam promising high returns,Cybercrime
Someone stole the copper wire from our building,Theft
A company took money for a job offer that turned out to be fake,Fraud
My laptop was stolen at the railway station,Theft
A person is telling my neighbours that I am a thief without any proof,Defamation
A woman was kidnapped by her ex-boyfriend and held against her will,Kidnapping
A mob lynched a man on suspicion in our area,Rioting
A gang of men assaulted a minor girl in our village,Sexual Assault
My in-laws harass me daily for dowry and refuse to let me eat,Domestic Violence
I received a cheque that bounced when deposited,Fraud
A man showed a weapon and snatched the cash I was carrying,Robbery
I am locked inside the house and not allowed to meet my parents,Domestic Violence
A gang threatened to burn my property if I do not pay them regularly,Extortion
A gang killed a person in our village over old enmity,Murder
A man follows me every day from my house to my office and back,Stalking
Gold jewellery worth lakhs was stolen from my almirah,Theft
A child was taken away by a person pretending to be a relative,Kidnapping
The municipal officer asked for money before approving our trade licence,Corruption
I was beaten by the security guard when I complained about the service,Assault
A woman died in her matrimonial home within a year of marriage under mysterious circumstances,Dowry Death
Unknown persons broke into my shop after closing hours,Trespass
My child was groomed online by a predator who requested inappropriate photos,Cybercrime
A young girl was lured away from home by a stranger with false promises,Kidnapping
The food inspector demanded money to approve our restaurant licence,Corruption
Someone posted edited photos making me look criminal and shared them widely,Defamation
I received a threatening call demanding money or they would kidnap my child,Extortion
Someone sold me a fake gold chain claiming it was real gold,Fraud
A group of men stopped my car and stole my belongings using force,Robbery
I was forcibly taken in a vehicle and held for ransom,Kidnapping
A relative forged my signature to sell my land,Fraud
My e-scooter was stolen from the parking lot,Theft
My bank account was hacked and money was transferred without my knowledge,Cybercrime
A person is repeatedly entering my house without permission,Trespass
I received threatening messages and abusive content online from an unknown number,Cybercrime
My colleague slapped and pushed me in front of others,Assault
I was tricked into a fake KYC update call and lost all my savings,Cybercrime
A person is sending defamatory messages about me to my family members,Defamation
My husband was beaten to death by a group of people,Murder
My father was killed during a robbery at our shop,Murder
"Robbers broke into our house at night, tied us up, and looted valuables",Robbery
My husband forced me to abort my pregnancy against my will,Domestic Violence
A builder collected full flat booking amount but never started construction,Fraud
I was molested by a stranger on the metro train,Sexual Assault
I am being followed and photographed without my knowledge,Stalking
Someone is threatening to expose my personal information unless I comply,Extortion
Someone stole fuel from my vehicle using a pipe,Theft
Someone cut the fence of my farm and is grazing cattle on my land,Trespass
A person is blackmailing me with old compromising messages,Extortion
Local goons are demanding weekly protection money from my shop,Extortion
My child was abducted from outside the school gate,Kidnapping
My neighbour hit me with a stick during a property dispute,Assault
Someone created a fake social media profile using my photos to harass me,Cybercrime
Someone stole the motorcycle parked in front of my shop,Theft
A public servant demanded favours to release our tender payment,Corruption
My UPI account was compromised and multiple transactions were made,Cybercrime
My ex-partner made up false stories about me and shared them with my employer,Defamation
A financial advisor invested my savings in a fake scheme,Fraud
A woman was found dead with strangulation marks on her neck,Murder
My husband burned me with a cigarette during a fight,Domestic Violence
My mother-in-law pours hot water on me whenever I argue with her,Domestic Violence
A matrimonial website used fake profiles to extract money from me,Fraud
The car dealer delivered a different model than what I paid for,Fraud
A man was kidnapped and forced to transfer money before being released,Kidnapping
My eyes were injured when someone threw acid at me,Assault
My daughter-in-law was found dead after repeated demands for more dowry,Dowry Death
Agricultural equipment was stolen from my farm overnight,Theft
A man was poisoned to death by his family members over property,Murder
My father beats my mother and children regularly when he is drunk,Domestic Violence
I am being forced to pay money or they will harm my family,Extortion
I was attacked by a group of people who beat me badly,Assault
My husband and his family demand dowry and assault me when I refuse,Domestic Violence
My child's school bag with books and a tablet was stolen,Theft
A contractor took advance payment for construction and disappeared,Fraud
Someone used my Aadhaar number to take out a loan in my name,Cybercrime
A scammer posed as a tech support agent and gained remote access to my computer,Cybercrime
Someone put a knife to my back and demanded my phone and wallet,Robbery
My email account was hacked and sensitive information was leaked,Cybercrime
A revenue official demanded payment to update the property records,Corruption
My sister was harassed for dowry for years and was eventually found hanged,Dowry Death
Obscene photos of me are being shared on the internet without my consent,Cybercrime
A passport officer demanded a bribe to fast-track my application,Corruption
A group of youths thrashed me for no reason,Assault
A mob gathered and attacked our community members during a festival,Rioting
A hacker encrypted my business files and is demanding ransom,Cybercrime
A school principal demanded money to grant admission to my child,Corruption
Someone hit me from behind with a blunt object,Assault
My wallet was pickpocketed on the crowded bus,Theft
A man deceived me into signing documents transferring my property,Fraud
I am mentally tortured by my spouse and denied basic necessities,Domestic Violence
A man forcefully entered my house and raped me,Sexual Assault
A young woman was abducted and taken across state lines,Kidnapping
A person waits outside my college gate every day and tries to talk to me,Stalking
My friend was stabbed multiple times and did not survive,Murder
Squatters have illegally occupied the flat I own,Trespass
My wife was burned alive by my in-laws for not bringing enough dowry,Dowry Death
My rival is spreading false rumours that I am involved in criminal activities,Defamation
A colleague repeatedly made unwanted physical contact despite my protests,Sexual Assault
I was sexually assaulted by my employer when I went to collect my salary,Sexual Assault
Masked men robbed the local bank branch,Robbery
Cash was stolen from the drawer at my office,Theft
Someone took my bag from a restaurant table when I wasn't looking,Theft
My husband beats me regularly and threatens to kill me,Domestic Violence
A group of students clashed violently during an election in college,Rioting
I was threatened with a weapon and forced to hand over my ATM card,Robbery
My neighbour has encroached on my property and erected a wall,Trespass
My family was threatened at gunpoint and our jewellery was taken,Robbery
I was beaten up by unknown men when I was returning home late,Assault
My daughter was abused by her tuition teacher,Sexual Assault
I was raped by someone I trusted at a party,Sexual Assault
I paid for an online product that was never delivered,Fraud
My house was burgled while I was away on vacation,Theft
Two men dragged me into an alley and robbed me at knifepoint,Robbery
My ex-boyfriend monitors all my social media accounts and contacts my friends,Stalking
